,Status,Elapsed_Time
Connection_Test,True,5.7437379360198975
Page_1_to_Page_2,True,116.84146475791931
Page_2_to_Page_3,True,116.84146475791931
Page_3_to_Page_1,True,116.84146475791931
Select_2_by_2,True,31.115752696990967
Select_3_by_3,True,223.58421206474304
app_iscsi_test,True,9.171422243118286
third_page_test,True,33.0377984046936
page_1_selected_4_or_More,True,3.475586175918579
Unclick app 1 result(s),True,4.477313041687012
Unclick app 2 result(s),True,8.345000267028809
Unclick app 3 result(s),True,39.60248136520386
